Batch_ID,Medicine_Name,Category,Manufacturer,Manufacturing_Date,Expiry_Date,Unit_Cost_USD,Selling_Price_USD,Quantity_In_Stock,Reorder_Level,Sales_Last_30_Days,Storage_Condition,Days_to_Expiry,Daily_Consumption_Rate,Days_to_Exhaust_Stock,Expiry_Risk_Level,AI_Recommendation
BATCH-1000,Lisinopril,Cardiology,Pfizer,2023-07-23,2024-08-20,2.21,3.86,67,20,566,Refrigerated,232,18.8666666666666,3.5512367491166,Low Risk,No immediate action required
BATCH-1001,Metformin,Diabetes,AstraZeneca,2023-12-20,2026-11-21,33.31,56.21,421,96,38,Cool Dry Place,1055,1.26666666666666,332.368421052631,Low Risk,No immediate action required
BATCH-1002,Ibuprofen,Analgesics,Cipla,2023-04-20,2024-05-10,15.92,22.78,457,35,448,Refrigerated,130,14.9333333333333,30.6026785714285,Low Risk,No immediate action required
BATCH-1003,Metformin,Diabetes,Pfizer,2023-10-02,2026-03-23,16.83,24.39,25,95,74,Room Temperature,812,2.46666666666666,10.1351351351351,Low Risk,Reorder stock soon
BATCH-1004,Atorvastatin,Cardiology,Pfizer,2023-06-16,2024-09-08,33.21,45.78,153,34,254,Cool Dry Place,251,8.46666666666666,18.0708661417322,Low Risk,No immediate action required
BATCH-1005,Azithromycin,Antibiotics,Cipla,2023-09-26,2026-07-14,36.06,60.42,438,66,563,Room Temperature,925,18.7666666666666,23.3392539964476,Low Risk,No immediate action required
BATCH-1006,Losartan,Cardiology,AstraZeneca,2023-01-31,2024-12-23,33.28,40.1,279,26,81,Refrigerated,357,2.7,103.333333333333,Low Risk,No immediate action required
BATCH-1007,Azithromycin,Antibiotics,Pfizer,2023-06-30,2024-10-03,46.92,56.88,94,94,84,Cool Dry Place,276,2.8,33.5714285714285,Low Risk,Reorder stock soon
BATCH-1008,Amoxicillin,Antibiotics,Pfizer,2023-03-02,2024-07-04,35.33,60.4,464,99,374,Room Temperature,185,12.4666666666666,37.2192513368983,Low Risk,No immediate action required
BATCH-1009,Amoxicillin,Antibiotics,Sanofi,2023-07-17,2026-04-19,18.03,23.5,156,69,163,Room Temperature,839,5.43333333333333,28.7116564417177,Low Risk,No immediate action required
BATCH-1010,Amlodipine,Cardiology,Sanofi,2023-10-25,2025-07-18,23.83,29.49,256,53,469,Refrigerated,564,15.6333333333333,16.3752665245202,Low Risk,No immediate action required
BATCH-1011,Omeprazole,Gastroenterology,Pfizer,2023-11-15,2025-05-28,32.28,55.8,78,67,197,Room Temperature,513,6.56666666666666,11.8781725888324,Low Risk,No immediate action required
BATCH-1012,Metoprolol,Cardiology,Novartis,2023-06-27,2025-10-17,18.74,24.77,111,74,353,Room Temperature,655,11.7666666666666,9.43342776203966,Low Risk,No immediate action required
BATCH-1013,Amoxicillin,Antibiotics,Cipla,2023-12-16,2025-04-24,19.71,34.15,218,46,595,Room Temperature,479,19.8333333333333,10.9915966386554,Low Risk,No immediate action required
BATCH-1014,Ibuprofen,Analgesics,Merck,2023-04-30,2024-09-05,40.51,66.06,57,44,205,Refrigerated,248,6.83333333333333,8.34146341463414,Low Risk,No immediate action required
BATCH-1015,Azithromycin,Antibiotics,Merck,2023-07-20,2026-06-28,23.41,37.93,95,31,135,Room Temperature,909,4.5,21.1111111111111,Low Risk,No immediate action required
BATCH-1016,Amoxicillin,Antibiotics,Novartis,2023-04-03,2025-11-11,30.91,53.13,147,61,532,Cool Dry Place,680,17.7333333333333,8.28947368421052,Low Risk,No immediate action required
